,county,population,state
1001,Hardin,106964,kentucky
1002,Harlan,26996,kentucky
1003,Harrison,18569,kentucky
1004,Hart,18541,kentucky
1005,Henderson,46212,kentucky
1006,Henry,15834,kentucky
1007,Hickman,4607,kentucky
1008,Hopkins,45598,kentucky
1009,Jackson,13364,kentucky
1010,Jefferson,767464,kentucky
1011,Jessamine,52219,kentucky
1012,Johnson,22858,kentucky
1013,Kenton,164962,kentucky
1014,Knott,15492,kentucky
1015,Knox,31471,kentucky
1016,Larue,14018,kentucky
1017,Laurel,60078,kentucky
1018,Lawrence,15839,kentucky
1019,Lee,6604,kentucky
1020,Leslie,10431,kentucky
1021,Letcher,22759,kentucky
1022,Lewis,13516,kentucky
1023,Lincoln,24382,kentucky
1024,Livingston,9198,kentucky
1025,Logan,26678,kentucky
1026,Lyon,8238,kentucky
1027,McCracken,65304,kentucky
1028,McCreary,17548,kentucky
1029,McLean,9337,kentucky
1030,Madison,89532,kentucky
1031,Magoffin,12668,kentucky
1032,Marion,19135,kentucky
1033,Marshall,31280,kentucky
1034,Martin,11945,kentucky
1035,Mason,17167,kentucky
1036,Meade,27959,kentucky
1037,Menifee,6449,kentucky
1038,Mercer,21405,kentucky
1039,Metcalfe,10020,kentucky
1040,Monroe,10539,kentucky
1041,Montgomery,27666,kentucky
1042,Morgan,13260,kentucky
1043,Muhlenberg,31150,kentucky
1044,Nelson,45497,kentucky
1045,Nicholas,7083,kentucky
1046,Ohio,24158,kentucky
1047,Oldham,65410,kentucky
1048,Owen,10668,kentucky
1049,Owsley,4472,kentucky
1050,Pendleton,14595,kentucky
1051,Perry,27197,kentucky
1052,Pike,60431,kentucky
1053,Powell,12266,kentucky
1054,Pulaski,64013,kentucky
1055,Robertson,2125,kentucky
1056,Rockcastle,16872,kentucky
1057,Rowan,24416,kentucky
1058,Russell,17769,kentucky
1059,Scott,53425,kentucky
1060,Shelby,46548,kentucky
1061,Simpson,17992,kentucky
1062,Spencer,18336,kentucky
1063,Taylor,25441,kentucky
1064,Todd,12357,kentucky
1065,Trigg,14302,kentucky
1066,Trimble,8596,kentucky
1067,Union,14765,kentucky
1068,Warren,126419,kentucky
1069,Washington,12109,kentucky
1070,Wayne,20728,kentucky
1071,Webster,13181,kentucky
1072,Whitley,36108,kentucky
1073,Wolfe,7189,kentucky
1074,Woodford,26118,kentucky
1075,"Acadia Parish, Louisiana",62786,louisiana
1076,"Allen Parish, Louisiana",25680,louisiana
1077,"Ascension Parish, Louisiana",121558,louisiana
1078,"Assumption Parish, Louisiana",22756,louisiana
1079,"Avoyelles Parish, Louisiana",40983,louisiana
1080,"Beauregard Parish, Louisiana",36973,louisiana
1081,"Bienville Parish, Louisiana",13780,louisiana
1082,"Bossier Parish, Louisiana",125920,louisiana
1083,"Caddo Parish, Louisiana",248837,louisiana
1084,"Calcasieu Parish, Louisiana",200568,louisiana
1085,"Caldwell Parish, Louisiana",10074,louisiana
1086,"Cameron Parish, Louisiana",6896,louisiana
1087,"Catahoula Parish, Louisiana",9869,louisiana
1088,"Claiborne Parish, Louisiana",16146,louisiana
1089,"Concordia Parish, Louisiana",19970,louisiana
1090,"De Soto Parish, Louisiana",27190,louisiana
1091,"East Baton Rouge Parish, Louisiana",446677,louisiana
1092,"East Carroll Parish, Louisiana",7235,louisiana
1093,"East Feliciana Parish, Louisiana",19513,louisiana
1094,"Evangeline Parish, Louisiana",33667,louisiana
1095,"Franklin Parish, Louisiana",20370,louisiana
1096,"Grant Parish, Louisiana",22279,louisiana
1097,"Iberia Parish, Louisiana",72971,louisiana
1098,"Iberville Parish, Louisiana",32864,louisiana
1099,"Jackson Parish, Louisiana",15895,louisiana
1100,"Jefferson Parish, Louisiana",436572,louisiana
1101,"Jefferson Davis Parish, Louisiana",31388,louisiana
1102,"Lafayette Parish, Louisiana",241275,louisiana
1103,"Lafourche Parish, Louisiana",98506,louisiana
1104,"LaSalle Parish, Louisiana",15022,louisiana
1105,"Lincoln Parish, Louisiana",47473,louisiana
1106,"Livingston Parish, Louisiana",139627,louisiana
1107,"Madison Parish, Louisiana",11486,louisiana
1108,"Morehouse Parish, Louisiana",25894,louisiana
1109,"Natchitoches Parish, Louisiana",39024,louisiana
1110,"Orleans Parish, Louisiana",391843,louisiana
1111,"Ouachita Parish, Louisiana",156897,louisiana
1112,"Plaquemines Parish, Louisiana",23323,louisiana
1113,"Pointe Coupee Parish, Louisiana",22111,louisiana
1114,"Rapides Parish, Louisiana",131845,louisiana
1115,"Red River Parish, Louisiana",8621,louisiana
1116,"Richland Parish, Louisiana",20446,louisiana
1117,"Sabine Parish, Louisiana",24055,louisiana
1118,"St. Bernard Parish, Louisiana",45777,louisiana
1119,"St. Charles Parish, Louisiana",52796,louisiana
1120,"St. Helena Parish, Louisiana",10389,louisiana
1121,"St. James Parish, Louisiana",21433,louisiana
1122,"St. John the Baptist Parish, Louisiana",43401,louisiana
1123,"St. Landry Parish, Louisiana",83768,louisiana
1124,"St. Martin Parish, Louisiana",53771,louisiana
1125,"St. Mary Parish, Louisiana",52069,louisiana
1126,"St. Tammany Parish, Louisiana",252468,louisiana
1127,"Tangipahoa Parish, Louisiana",130619,louisiana
1128,"Tensas Parish, Louisiana",4656,louisiana
1129,"Terrebonne Parish, Louisiana",113006,louisiana
1130,"Union Parish, Louisiana",22528,louisiana
1131,"Vermilion Parish, Louisiana",60074,louisiana
1132,"Vernon Parish, Louisiana",51481,louisiana
1133,"Washington Parish, Louisiana",46387,louisiana
1134,"Webster Parish, Louisiana",39751,louisiana
1135,"West Baton Rouge Parish, Louisiana",25901,louisiana
1136,"West Carroll Parish, Louisiana",11136,louisiana
1137,"West Feliciana Parish, Louisiana",15327,louisiana
1138,"Winn Parish, Louisiana",14532,louisiana
1139,Allegany,72053,maryland
1140,Anne Arundel,567254,maryland
1141,Baltimore,828682,maryland
1142,Calvert,91052,maryland
1143,Caroline,32840,maryland
1144,Carroll,167100,maryland
1145,Cecil,102487,maryland
1146,Charles,157292,maryland
1147,Dorchester,32276,maryland
1148,Frederick,246999,maryland
1149,Garrett,29358,maryland
1150,Harford,250370,maryland
1151,Howard,315416,maryland
1152,Kent,19666,maryland
1153,Montgomery,1038846,maryland
1154,Prince George's,908501,maryland
1155,Queen Anne's,49063,maryland
1156,St. Mary's,111750,maryland
1157,Somerset,25839,maryland
1158,Talbot,37135,maryland
1159,Washington,149602,maryland
1160,Wicomico,102041,maryland
1161,Worcester,51475,maryland
1162,"Baltimore city, Maryland",616226,maryland
1163,Alcona,10360,michigan
1164,Alger,9129,michigan
1165,Allegan,114979,michigan
1166,Alpena,28663,michigan
1167,Antrim,23079,michigan
1168,Arenac,15138,michigan
1169,Baraga,8546,michigan
1170,Barry,59810,michigan
1171,Bay,104411,michigan
1172,Benzie,17534,michigan
1173,Berrien,154325,michigan
1174,Branch,43466,michigan
1175,Calhoun,134344,michigan
1176,Cass,51282,michigan
1177,Charlevoix,26190,michigan
1178,Cheboygan,25455,michigan
1179,Chippewa,37683,michigan
1180,Clare,30387,michigan
1181,Clinton,77617,michigan
1182,Crawford,13768,michigan
1183,Delta,36196,michigan
1184,Dickinson,25499,michigan
1185,Eaton,109183,michigan
1186,Emmet,32875,michigan
1187,Genesee,408926,michigan
1188,Gladwin,25154,michigan
1189,Gogebic,15340,michigan
1190,Grand Traverse,91957,michigan
1191,Gratiot,40955,michigan
1192,Hillsdale,45773,michigan
1193,Houghton,36299,michigan
1194,Huron,31486,michigan
1195,Ingham,289804,michigan
1196,Ionia,64187,michigan
1197,Iosco,25284,michigan
1198,Iron,11167,michigan
1199,Isabella,71263,michigan
1200,Jackson,158277,michigan
1201,Kalamazoo,261304,michigan
1202,Kalkaska,17263,michigan
1203,Kent,643858,michigan
1204,Keweenaw,2139,michigan
1205,Lake,11853,michigan
1206,Lapeer,88171,michigan
1207,Leelanau,21507,michigan
1208,Lenawee,98496,michigan
1209,Livingston,188547,michigan
1210,Luce,6335,michigan
1211,Mackinac,10724,michigan
1212,Macomb,868534,michigan
1213,Manistee,24424,michigan
1214,Marquette,66532,michigan
1215,Mason,28810,michigan
1216,Mecosta,43141,michigan
1217,Menominee,23208,michigan
1218,Midland,83422,michigan
1219,Missaukee,15018,michigan
1220,Monroe,149159,michigan
1221,Montcalm,62953,michigan
1222,Montmorency,9203,michigan
1223,Muskegon,173227,michigan
1224,Newaygo,47811,michigan
1225,Oakland,1251027,michigan
1226,Oceana,26311,michigan
1227,Ogemaw,20850,michigan
1228,Ontonagon,5939,michigan
1229,Osceola,23170,michigan
1230,Oscoda,8259,michigan
1231,Otsego,24408,michigan
1232,Ottawa,283712,michigan
1233,Presque Isle,12735,michigan
1234,Roscommon,23779,michigan
1235,Saginaw,192507,michigan
1236,St. Clair,159369,michigan
1237,St. Joseph,60790,michigan
1238,Sanilac,41405,michigan
1239,Schoolcraft,7967,michigan
1240,Shiawassee,68542,michigan
1241,Tuscola,53276,michigan
1242,Van Buren,75267,michigan
1243,Washtenaw,366135,michigan
1244,Wayne,1760612,michigan
1245,Wexford,33081,michigan
1246,Aitkin,15754,minnesota
1247,Anoka,346526,minnesota
1248,Becker,33718,minnesota
1249,Beltrami,46008,minnesota
1250,Benton,39687,minnesota
1251,Big Stone,5002,minnesota
1252,Blue Earth,66355,minnesota
1253,Brown,25272,minnesota
1254,Carlton,35555,minnesota
1255,Carver,100374,minnesota
1256,Cass,29030,minnesota
1257,Chippewa,12036,minnesota
1258,Chisago,54638,minnesota
1259,Clay,63055,minnesota
1260,Clearwater,8831,minnesota
1261,Cook,5338,minnesota
1262,Cottonwood,11367,minnesota
1263,Crow Wing,63729,minnesota
1264,Dakota,417555,minnesota
1265,Dodge,20540,minnesota
1266,Douglas,37154,minnesota
1267,Faribault,13867,minnesota
1268,Fillmore,20916,minnesota
1269,Freeborn,30449,minnesota
1270,Goodhue,46226,minnesota
1271,Grant,5930,minnesota
1272,Hennepin,1235371,minnesota
1273,Houston,18703,minnesota
1274,Hubbard,20701,minnesota
1275,Isanti,38778,minnesota
1276,Itasca,45168,minnesota
1277,Jackson,9968,minnesota
1278,Kanabec,15912,minnesota
1279,Kandiyohi,42697,minnesota
1280,Kittson,4320,minnesota
1281,Koochiching,12610,minnesota
1282,Lac qui Parle,6746,minnesota
1283,Lake,10514,minnesota
1284,Lake of the Woods,3781,minnesota
1285,Le Sueur,27772,minnesota
1286,Lincoln,5703,minnesota
1287,Lyon,25971,minnesota
1288,McLeod,35749,minnesota
1289,Mahnomen,5484,minnesota
1290,Marshall,9369,minnesota
1291,Martin,19904,minnesota
1292,Meeker,23064,minnesota
1293,Mille Lacs,25594,minnesota
1294,Morrison,32918,minnesota
1295,Mower,39567,minnesota
1296,Murray,8305,minnesota
1297,Nicollet,33720,minnesota
1298,Nobles,21878,minnesota
1299,Norman,6534,minnesota
1300,Olmsted,153272,minnesota
1301,Otter Tail,57820,minnesota
1302,Pennington,14206,minnesota
1303,Pine,28866,minnesota
1304,Pipestone,9248,minnesota
1305,Polk,31698,minnesota
1306,Pope,10970,minnesota
1307,Ramsey,541502,minnesota
1308,Red Lake,3987,minnesota
1309,Redwood,15216,minnesota
1310,Renville,14613,minnesota
1311,Rice,65868,minnesota
1312,Rock,9392,minnesota
1313,Roseau,15557,minnesota
1314,St. Louis,199967,minnesota
1315,Scott,143309,minnesota
1316,Sherburne,93228,minnesota
1317,Sibley,14812,minnesota
1318,Stearns,157225,minnesota
1319,Steele,36644,minnesota
1320,Stevens,9810,minnesota
1321,Swift,9442,minnesota
1322,Todd,24381,minnesota
1323,Traverse,3330,minnesota
1324,Wabasha,21435,minnesota
1325,Wadena,13550,minnesota
1326,Waseca,18783,minnesota
1327,Washington,252502,minnesota
1328,Watonwan,11002,minnesota
1329,Wilkin,6323,minnesota
1330,Winona,50861,minnesota
1331,Wright,132324,minnesota
1332,Yellow Medicine,9888,minnesota
1333,Adams,31569,mississippi
1334,Alcorn,37246,mississippi
1335,Amite,12433,mississippi
1336,Attala,18551,mississippi
1337,Benton,8247,mississippi
1338,Bolivar,32549,mississippi
1339,Calhoun,14553,mississippi
1340,Carroll,10186,mississippi
1341,Chickasaw,17224,mississippi
1342,Choctaw,8299,mississippi
1343,Claiborne,9152,mississippi
1344,Clarke,15896,mississippi
1345,Clay,19854,mississippi
1346,Coahoma,23834,mississippi
1347,Copiah,28647,mississippi
1348,Covington,19174,mississippi
1349,DeSoto,175721,mississippi
1350,Forrest,75564,mississippi
1351,Franklin,7709,mississippi
1352,George,23645,mississippi
1353,Greene,13566,mississippi
1354,Grenada,21219,mississippi
1355,Hancock,46643,mississippi
1356,Harrison,202504,mississippi
1357,Hinds,242176,mississippi
1358,Holmes,18017,mississippi
1359,Humphreys,8588,mississippi
1360,Issaquena,1326,mississippi
1361,Itawamba,23416,mississippi
1362,Jackson,141535,mississippi
1363,Jasper,16588,mississippi
1364,Jefferson,7312,mississippi
1365,Jefferson Davis,11436,mississippi
1366,Jones,68473,mississippi
1367,Kemper,10035,mississippi
1368,Lafayette,53476,mississippi
1369,Lamar,61364,mississippi
1370,Lauderdale,77376,mississippi
1371,Lawrence,12812,mississippi
1372,Leake,22789,mississippi
1373,Lee,84837,mississippi
1374,Leflore,29779,mississippi
1375,Lincoln,34375,mississippi
1376,Lowndes,59549,mississippi
1377,Madison,103852,mississippi
1378,Marion,25106,mississippi
1379,Marshall,35785,mississippi
1380,Monroe,35897,mississippi
1381,Montgomery,10235,mississippi
1382,Neshoba,29473,mississippi
1383,Newton,21461,mississippi
1384,Noxubee,10879,mississippi
1385,Oktibbeha,49534,mississippi
1386,Panola,34241,mississippi
1387,Pearl River,55037,mississippi
1388,Perry,12056,mississippi
1389,Pike,39592,mississippi
1390,Pontotoc,31470,mississippi
1391,Prentiss,25405,mississippi
1392,Quitman,7368,mississippi
1393,Rankin,151514,mississippi
1394,Scott,28351,mississippi
1395,Sharkey,4513,mississippi
1396,Simpson,26992,mississippi
1397,Smith,15949,mississippi
1398,Stone,18183,mississippi
1399,Sunflower,26493,mississippi
1400,Tallahatchie,14342,mississippi
1401,Tate,28306,mississippi
1402,Tippah,22063,mississippi
1403,Tishomingo,19442,mississippi
1404,Tunica,10139,mississippi
1405,Union,28308,mississippi
1406,Walthall,14556,mississippi
1407,Warren,46958,mississippi
1408,Washington,47183,mississippi
1409,Wayne,20460,mississippi
1410,Webster,9758,mississippi
1411,Wilkinson,9020,mississippi
1412,Winston,18340,mississippi
1413,Yalobusha,12461,mississippi
1414,Yazoo,27972,mississippi
1415,Adair,25244,missouri
1416,Andrew,17351,missouri
1417,Atchison,5281,missouri
1418,Audrain,25870,missouri
1419,Barry,35226,missouri
1420,Barton,11825,missouri
1421,Bates,16351,missouri
1422,Benton,18934,missouri
1423,Bollinger,12205,missouri
1424,Boone,176315,missouri
1425,Buchanan,89032,missouri
1426,Butler,42769,missouri
1427,Caldwell,9043,missouri
1428,Callaway,45069,missouri
1429,Camden,44906,missouri
1430,Cape Girardeau,78445,missouri
1431,Carroll,8844,missouri
1432,Carter,6210,missouri
1433,Cass,102622,missouri
1434,Cedar,13876,missouri
1435,Chariton,7501,missouri
1436,Christian,84184,missouri
1437,Clark,6739,missouri
1438,Clay,238583,missouri
1439,Clinton,20548,missouri
1440,Cole,76702,missouri
1441,Cooper,17702,missouri
1442,Crawford,24265,missouri
1443,Dade,7606,missouri
1444,Dallas,16381,missouri
1445,Daviess,8224,missouri
1446,DeKalb,12496,missouri
1447,Dent,15454,missouri
1448,Douglas,13353,missouri
1449,Dunklin,30562,missouri
1450,Franklin,102704,missouri
1451,Gasconade,14746,missouri
1452,Gentry,6624,missouri
1453,Greene,287818,missouri
1454,Grundy,10111,missouri
1455,Harrison,8579,missouri
1456,Henry,21625,missouri
1457,Hickory,9356,missouri
1458,Holt,4453,missouri
1459,Howard,10032,missouri
1460,Howell,40132,missouri
1461,Iron,10123,missouri
1462,Jackson,692430,missouri
1463,Jasper,119219,missouri
1464,Jefferson,223377,missouri
1465,Johnson,53497,missouri
1466,Knox,3933,missouri
1467,Laclede,35450,missouri
1468,Lafayette,32534,missouri
1469,Lawrence,38164,missouri
1470,Lewis,10072,missouri
1471,Lincoln,55146,missouri
1472,Linn,12146,missouri
1473,Livingston,15127,missouri
1474,McDonald,22705,missouri
1475,Macon,15164,missouri
1476,Madison,12213,missouri
1477,Maries,8821,missouri
1478,Marion,28689,missouri
1479,Mercer,3661,missouri
1480,Miller,24998,missouri
1481,Mississippi,13738,missouri
1482,Moniteau,15991,missouri
1483,Monroe,8633,missouri
1484,Montgomery,11447,missouri
1485,Morgan,20089,missouri
1486,New Madrid,17839,missouri
1487,Newton,58178,missouri
1488,Nodaway,22455,missouri
1489,Oregon,10746,missouri
1490,Osage,13613,missouri
1491,Ozark,9199,missouri
1492,Pemiscot,17060,missouri
1493,Perry,19216,missouri
1494,Pettis,42249,missouri
1495,Phelps,44708,missouri
1496,Pike,18507,missouri
1497,Platte,98641,missouri
1498,Polk,31380,missouri
1499,Pulaski,52456,missouri
1500,Putnam,4825,missouri
1501,Ralls,10230,missouri
1502,Randolph,24970,missouri
1503,Ray,22741,missouri
1504,Reynolds,6347,missouri
1505,Ripley,13775,missouri
1506,St. Charles,390541,missouri
1507,St. Clair,9288,missouri
1508,Ste. Genevieve,17875,missouri
1509,St. Francois,66356,missouri
1510,St. Louis,997837,missouri
1511,Saline,23095,missouri
1512,Schuyler,4501,missouri
1513,Scotland,4902,missouri
1514,Scott,38760,missouri
1515,Shannon,8222,missouri
1516,Shelby,6044,missouri
1517,Stoddard,29498,missouri
1518,Stone,31471,missouri
1519,Sullivan,6333,missouri
1520,Taney,54608,missouri
1521,Texas,25805,missouri
1522,Vernon,20653,missouri
1523,Warren,33871,missouri
1524,Washington,24852,missouri
1525,Wayne,13236,missouri
1526,Webster,38154,missouri
1527,Worth,2015,missouri
1528,Wright,18185,missouri
1529,"St. Louis city, Missouri",312633,missouri
1530,Beaverhead,9463,montana
1531,Big Horn,13458,montana
1532,Blaine,6716,montana
1533,Broadwater,5785,montana
1534,Carbon,10485,montana
1535,Carter,1175,montana
1536,Cascade,81562,montana
1537,Chouteau,5780,montana
1538,Custer,11843,montana
1539,Daniels,1731,montana
1540,Dawson,9263,montana
1541,Deer Lodge,9057,montana
1542,Fallon,3086,montana
1543,Fergus,11349,montana
1544,Flathead,97742,montana
1545,Gallatin,104739,montana
1546,Garfield,1299,montana
1547,Glacier,13711,montana
1548,Golden Valley,810,montana
1549,Granite,3286,montana
1550,Hill,16448,montana
1551,Jefferson,11779,montana
1552,Judith Basin,1940,montana
1553,Lake,29709,montana
1554,Lewis and Clark,66894,montana
1555,Liberty,2409,montana
1556,Lincoln,19294,montana
1557,McCone,1732,montana
1558,Madison,8062,montana
1559,Meagher,1845,montana
1560,Mineral,4124,montana
1561,Missoula,116349,montana
1562,Musselshell,4646,montana
1563,Park,16115,montana
1564,Petroleum,491,montana
1565,Phillips,4113,montana
1566,Pondera,6035,montana
1567,Powder River,1746,montana
1568,Powell,6841,montana
1569,Prairie,1159,montana
1570,Ravalli,41918,montana
1571,Richland,11408,montana
1572,Roosevelt,11225,montana
1573,Rosebud,9232,montana
1574,Sanders,11465,montana
1575,Sheridan,3608,montana
1576,Silver Bow,34696,montana
1577,Stillwater,9360,montana
1578,Sweet Grass,3616,montana
1579,Teton,6011,montana
1580,Toole,4951,montana
1581,Treasure,680,montana
1582,Valley,7532,montana
1583,Wheatland,2130,montana
1584,Wibaux,1042,montana
1585,Yellowstone,157914,montana
1586,Adams,31683,nebraska
1587,Antelope,6345,nebraska
1588,Arthur,466,nebraska
1589,Banner,716,nebraska
1590,Blaine,470,nebraska
1591,Boone,5333,nebraska
1592,Box Butte,11176,nebraska
1593,Boyd,1980,nebraska
1594,Brown,2980,nebraska
1595,Buffalo,49104,nebraska
1596,Burt,6537,nebraska
1597,Butler,7996,nebraska
1598,Cass,25647,nebraska
1599,Cedar,8604,nebraska
1600,Chase,3914,nebraska
1601,Cherry,5829,nebraska
1602,Cheyenne,10047,nebraska
1603,Clay,6135,nebraska
1604,Colfax,10712,nebraska
1605,Cuming,8957,nebraska
1606,Custer,10824,nebraska
1607,Dakota,20279,nebraska
1608,Dawes,8911,nebraska
1609,Dawson,23779,nebraska
1610,Deuel,1861,nebraska
1611,Dixon,5742,nebraska
1612,Dodge,36677,nebraska
1613,Douglas,555607,nebraska
1614,Dundy,1806,nebraska
1615,Fillmore,5622,nebraska
1616,Franklin,2994,nebraska
1617,Frontier,2645,nebraska
1618,Furnas,4762,nebraska
1619,Gage,21625,nebraska
1620,Garden,1907,nebraska
1621,Garfield,1994,nebraska
1622,Gosper,2025,nebraska
1623,Grant,665,nebraska
1624,Greeley,2400,nebraska
1625,Hall,61353,nebraska
1626,Hamilton,9158,nebraska
1627,Harlan,3451,nebraska
1628,Hayes,891,nebraska
1629,Hitchcock,2828,nebraska
1630,Holt,10223,nebraska
1631,Hooker,683,nebraska
1632,Howard,6407,nebraska
1633,Jefferson,7181,nebraska
1634,Johnson,5213,nebraska
1635,Kearney,6561,nebraska
1636,Keith,8096,nebraska
1637,Keya Paha,792,nebraska
1638,Kimball,3669,nebraska
1639,Knox,8484,nebraska
1640,Lancaster,310306,nebraska
1641,Lincoln,35487,nebraska
1642,Logan,792,nebraska
1643,Loup,616,nebraska
1644,McPherson,503,nebraska
1645,Madison,34979,nebraska
1646,Merrick,7838,nebraska
1647,Morrill,4867,nebraska
1648,Nance,3561,nebraska
1649,Nemaha,6973,nebraska
1650,Nuckolls,4274,nebraska
1651,Otoe,15950,nebraska
1652,Pawnee,2699,nebraska
1653,Perkins,2892,nebraska
1654,Phelps,9193,nebraska
1655,Pierce,7144,nebraska
1656,Platte,33008,nebraska
1657,Polk,5190,nebraska
1658,Red Willow,10767,nebraska
1659,Richardson,8004,nebraska
1660,Rock,1404,nebraska
1661,Saline,14228,nebraska
1662,Sarpy,178355,nebraska
1663,Saunders,20992,nebraska
1664,Scotts Bluff,36420,nebraska
1665,Seward,17103,nebraska
1666,Sheridan,5235,nebraska
1667,Sherman,3012,nebraska
1668,Sioux,1259,nebraska
1669,Stanton,5975,nebraska
1670,Thayer,5080,nebraska
1671,Thomas,722,nebraska
1672,Thurston,7139,nebraska
1673,Valley,4201,nebraska
1674,Washington,20213,nebraska
1675,Wayne,9379,nebraska
1676,Webster,3566,nebraska
1677,Wheeler,804,nebraska
1678,York,13740,nebraska
1679,Churchill,23904,nevada
1680,Clark,2138836,nevada
1681,Douglas,47834,nevada
1682,Elko,52082,nevada
1683,Esmeralda,826,nevada
1684,Eureka,1936,nevada
1685,Humboldt,16795,nevada
1686,Lander,5684,nevada
1687,Lincoln,5154,nevada
1688,Lyon,52707,nevada
1689,Mineral,4376,nevada
1690,Nye,43248,nevada
1691,Pershing,6576,nevada
1692,Storey,3986,nevada
1693,Washoe,449723,nevada
1694,White Pine,9749,nevada
1695,"Carson City, Nevada",54147,nevada
1696,Atlantic,267217,new jersey
1697,Bergen,928120,new jersey
1698,Burlington,445972,new jersey
1699,Camden,507002,new jersey
1700,Cape May,93655,new jersey
1701,Cumberland,153233,new jersey
1702,Essex,792689,new jersey
1703,Gloucester,290761,new jersey
1704,Hudson,668588,new jersey
1705,Hunterdon,124775,new jersey
1706,Mercer,367699,new jersey
1707,Middlesex,825457,new jersey
1708,Monmouth,622971,new jersey
1709,Morris,493801,new jersey
1710,Ocean,590897,new jersey
1711,Passaic,504147,new jersey
1712,Salem,63203,new jersey
1713,Somerset,329875,new jersey
1714,Sussex,141925,new jersey
1715,Union,552781,new jersey
1716,Warren,106059,new jersey
1717,Bernalillo,677683,new mexico
1718,Catron,3518,new mexico
1719,Chaves,65646,new mexico
1720,Cibola,27049,new mexico
1721,Colfax,12250,new mexico
1722,Curry,50283,new mexico
1723,De Baca,1835,new mexico
1724,Doña Ana,214663,new mexico
1725,Eddy,57650,new mexico
1726,Grant,28040,new mexico
1727,Guadalupe,4369,new mexico
1728,Harding,687,new mexico
1729,Hidalgo,4324,new mexico
1730,Lea,70249,new mexico
1731,Lincoln,19397,new mexico
1732,Los Alamos,18209,new mexico
1733,Luna,24362,new mexico
1734,McKinley,73028,new mexico
1735,Mora,4533,new mexico
1736,Otero,65647,new mexico
1737,Quay,8390,new mexico
1738,Rio Arriba,39245,new mexico
1739,Roosevelt,19145,new mexico
1740,Sandoval,140464,new mexico
1741,San Juan,127954,new mexico
1742,San Miguel,28005,new mexico
1743,Santa Fe,148758,new mexico
1744,Sierra,11117,new mexico
1745,Socorro,16964,new mexico
1746,Taos,32922,new mexico
1747,Torrance,15491,new mexico
1748,Union,4154,new mexico
1749,Valencia,75599,new mexico
1750,Albany,307597,new york
1751,Allegany,47044,new york
1752,Bronx,1444417,new york
1753,Broome,194498,new york
1754,Cattaraugus,77658,new york
1755,Cayuga,77674,new york
1756,Chautauqua,129206,new york
1757,Chemung,85644,new york
1758,Chenango,48315,new york
1759,Clinton,80500,new york
1760,Columbia,60835,new york
1761,Cortland,47915,new york
1762,Delaware,45393,new york
1763,Dutchess,293029,new york
1764,Erie,918678,new york
1765,Essex,37671,new york
1766,Franklin,51081,new york
1767,Fulton,53610,new york
1768,Genesee,58013,new york
1769,Greene,47494,new york
1770,Hamilton,4556,new york
1771,Herkimer,62436,new york
1772,Jefferson,112980,new york
1773,Kings,2608423,new york
1774,Lewis,26647,new york
1775,Livingston,64000,new york
1776,Madison,71387,new york
1777,Monroe,743770,new york
1778,Montgomery,49169,new york
1779,Nassau,1355952,new york
1780,New York,1635443,new york
1781,Niagara,211554,new york
1782,Oneida,230375,new york
1783,Onondaga,464109,new york
1784,Ontario,109229,new york
1785,Orange,377799,new york
1786,Orleans,41247,new york
1787,Oswego,118895,new york
1788,Otsego,60132,new york
1789,Putnam,98761,new york
1790,Queens,2306830,new york
1791,Rensselaer,159294,new york
1792,Richmond,474040,new york
1793,Rockland,323258,new york
1794,St. Lawrence,109449,new york
1795,Saratoga,227122,new york
1796,Schenectady,154475,new york
1797,Schoharie,31304,new york
1798,Schuyler,17967,new york
1799,Seneca,34710,new york
1800,Steuben,96958,new york
1801,Suffolk,1486406,new york
1802,Sullivan,74922,new york
1803,Tioga,48824,new york
1804,Tompkins,102942,new york
1805,Ulster,179042,new york
1806,Warren,64438,new york
1807,Washington,61795,new york
1808,Wayne,90758,new york
1809,Westchester,970267,new york
1810,Wyoming,40432,new york
1811,Yates,25059,new york
1812,Alamance,160283,north carolina
1813,Alexander,37133,north carolina
1814,Alleghany,10919,north carolina
1815,Anson,25165,north carolina
1816,Ashe,26600,north carolina
1817,Avery,17442,north carolina
1818,Beaufort,47369,north carolina
1819,Bertie,19423,north carolina
1820,Bladen,33638,north carolina
1821,Brunswick,126304,north carolina
1822,Buncombe,254955,north carolina
1823,Burke,89451,north carolina
1824,Cabarrus,201639,north carolina
1825,Caldwell,81766,north carolina
1826,Camden,10397,north carolina
1827,Carteret,68808,north carolina
1828,Caswell,22755,north carolina
1829,Catawba,156448,north carolina
1830,Chatham,69642,north carolina
1831,Cherokee,27809,north carolina
1832,Chowan,14201,north carolina
1833,Clay,10749,north carolina
1834,Cleveland,96960,north carolina
1835,Columbus,56292,north carolina
1836,Craven,102632,north carolina
1837,Cumberland,333167,north carolina
1838,Currituck,25640,north carolina
1839,Dare,35829,north carolina
1840,Davidson,164270,north carolina
1841,Davie,41921,north carolina
1842,Duplin,59275,north carolina
1843,Durham,307826,north carolina
1844,Edgecombe,53283,north carolina
1845,Forsyth,371260,north carolina
1846,Franklin,64676,north carolina
1847,Gaston,216622,north carolina
1848,Gates,11569,north carolina
1849,Graham,8531,north carolina
1850,Granville,58684,north carolina
1851,Greene,21078,north carolina
1852,Guilford,524265,north carolina
1853,Halifax,51815,north carolina
