,county,population,state
228,Crowley,5285,colorado
229,Custer,4588,colorado
230,Delta,30346,colorado
231,Denver,696159,colorado
232,Dolores,2056,colorado
233,Douglas,328219,colorado
234,Eagle,54541,colorado
235,Elbert,25157,colorado
236,El Paso,688277,colorado
237,Fremont,46976,colorado
238,Garfield,58785,colorado
239,Gilpin,5914,colorado
240,Grand,15179,colorado
241,Gunnison,16414,colorado
242,Hinsdale,788,colorado
243,Huerfano,6580,colorado
244,Jackson,1358,colorado
245,Jefferson,571413,colorado
246,Kiowa,1342,colorado
247,Kit Carson,7626,colorado
248,Lake,7590,colorado
249,La Plata,55316,colorado
250,Larimer,338984,colorado
251,Las Animas,14073,colorado
252,Lincoln,5551,colorado
253,Logan,22435,colorado
254,Mesa,149736,colorado
255,Mineral,756,colorado
256,Moffat,13144,colorado
257,Montezuma,25994,colorado
258,Montrose,41151,colorado
259,Morgan,28199,colorado
260,Otero,18266,colorado
261,Ouray,4789,colorado
262,Park,17343,colorado
263,Phillips,4280,colorado
264,Pitkin,17975,colorado
265,Prowers,11926,colorado
266,Pueblo,164774,colorado
267,Rio Blanco,6436,colorado
268,Rio Grande,11337,colorado
269,Routt,24682,colorado
270,Saguache,6412,colorado
271,San Juan,691,colorado
272,San Miguel,8017,colorado
273,Sedgwick,2400,colorado
274,Summit,30552,colorado
275,Teller,24058,colorado
276,Washington,4834,colorado
277,Weld,295712,colorado
278,Yuma,10055,colorado
279,Kent,174542,delaware
280,New Castle,555058,delaware
281,Sussex,219321,delaware
282,Alachua,263959,florida
283,Baker,27884,florida
284,Bay,183634,florida
285,Bradford,26740,florida
286,Brevard,576874,florida
287,Broward,1912583,florida
288,Calhoun,14330,florida
289,Charlotte,177671,florida
290,Citrus,142804,florida
291,Clay,207246,florida
292,Collier,365445,florida
293,Columbia,69265,florida
294,DeSoto,36255,florida
295,Dixie,16465,florida
296,Duval,926010,florida
297,Escambia,311473,florida
298,Flagler,107406,florida
299,Franklin,11823,florida
300,Gadsden,46086,florida
301,Gilchrist,17622,florida
302,Glades,13406,florida
303,Gulf,16062,florida
304,Hamilton,14303,florida
305,Hardee,27219,florida
306,Hendry,40037,florida
307,Hernando,182459,florida
308,Highlands,102041,florida
309,Hillsborough,1396693,florida
310,Holmes,19398,florida
311,Indian River,151159,florida
312,Jackson,48299,florida
313,Jefferson,13960,florida
314,Lafayette,8747,florida
315,Lake,334913,florida
316,Lee,722649,florida
317,Leon,286744,florida
318,Levy,39837,florida
319,Liberty,8300,florida
320,Madison,18316,florida
321,Manatee,375373,florida
322,Marion,347469,florida
323,Martin,158325,florida
324,Miami-Dade,2692213,florida
325,Monroe,76872,florida
326,Nassau,80055,florida
327,Okaloosa,200071,florida
328,Okeechobee,40769,florida
329,Orange,1326516,florida
330,Osceola,338209,florida
331,Palm Beach,1450890,florida
332,Pasco,509937,florida
333,Pinellas,959874,florida
334,Polk,665823,florida
335,Putnam,72373,florida
336,St. Johns,234828,florida
337,St. Lucie,305566,florida
338,Santa Rosa,169894,florida
339,Sarasota,412968,florida
340,Seminole,455945,florida
341,Sumter,122009,florida
342,Suwannee,43834,florida
343,Taylor,22099,florida
344,Union,15238,florida
345,Volusia,528453,florida
346,Wakulla,31882,florida
347,Walton,65421,florida
348,Washington,24454,florida
349,Appling,18428,georgia
350,Atkinson,8244,georgia
351,Bacon,11275,georgia
352,Baker,3183,georgia
353,Baldwin,45259,georgia
354,Banks,18325,georgia
355,Barrow,77000,georgia
356,Bartow,103338,georgia
357,Ben Hill,17251,georgia
358,Berrien,18996,georgia
359,Bibb,153152,georgia
360,Bleckley,12864,georgia
361,Brantley,18415,georgia
362,Brooks,15725,georgia
363,Bryan,35839,georgia
364,Bulloch,74642,georgia
365,Burke,22601,georgia
366,Butts,23736,georgia
367,Calhoun,6359,georgia
368,Camden,52394,georgia
369,Candler,10849,georgia
370,Carroll,116077,georgia
371,Catoosa,66265,georgia
372,Charlton,12842,georgia
373,Chatham,288615,georgia
374,Chattahoochee,10047,georgia
375,Chattooga,24836,georgia
376,Cherokee,241795,georgia
377,Clarke,124905,georgia
378,Clay,3005,georgia
379,Clayton,279333,georgia
380,Clinch,6742,georgia
381,Cobb,748178,georgia
382,Coffee,42908,georgia
383,Colquitt,45429,georgia
384,Columbia,147370,georgia
385,Cook,17162,georgia
386,Coweta,140497,georgia
387,Crawford,12268,georgia
388,Crisp,22905,georgia
389,Dade,16224,georgia
390,Dawson,23668,georgia
391,Decatur,26679,georgia
392,DeKalb,746802,georgia
393,Dodge,20854,georgia
394,Dooly,13853,georgia
395,Dougherty,90389,georgia
396,Douglas,141664,georgia
397,Early,10306,georgia
398,Echols,3956,georgia
399,Effingham,58699,georgia
400,Elbert,19136,georgia
401,Emanuel,22406,georgia
402,Evans,10648,georgia
403,Fannin,25032,georgia
404,Fayette,111218,georgia
405,Floyd,96698,georgia
406,Forsyth,220481,georgia
407,Franklin,22316,georgia
408,Fulton,1022866,georgia
409,Gilmer,29911,georgia
410,Glascock,2978,georgia
411,Glynn,84099,georgia
412,Gordon,56933,georgia
413,Grady,24869,georgia
414,Greene,16869,georgia
415,Gwinnett,904962,georgia
416,Habersham,44104,georgia
417,Hall,196159,georgia
418,Hancock,8633,georgia
419,Haralson,28830,georgia
420,Harris,33633,georgia
421,Hart,25471,georgia
422,Heard,11579,georgia
423,Henry,220896,georgia
424,Houston,151622,georgia
425,Irwin,9302,georgia
426,Jackson,65061,georgia
427,Jasper,13767,georgia
428,Jeff Davis,14965,georgia
429,Jefferson,15755,georgia
430,Jenkins,8812,georgia
431,Johnson,9660,georgia
432,Jones,28574,georgia
433,Lamar,18484,georgia
434,Lanier,10430,georgia
435,Laurens,47279,georgia
436,Lee,29184,georgia
437,Liberty,61473,georgia
438,Lincoln,7855,georgia
439,Long,18372,georgia
440,Lowndes,114360,georgia
441,Lumpkin,31415,georgia
442,McDuffie,21456,georgia
443,McIntosh,14057,georgia
444,Macon,13478,georgia
445,Madison,28856,georgia
446,Marion,8468,georgia
447,Meriwether,21074,georgia
448,Miller,5874,georgia
449,Mitchell,22455,georgia
450,Monroe,26905,georgia
451,Montgomery,8985,georgia
452,Morgan,18107,georgia
453,Murray,39347,georgia
454,Muscogee,196219,georgia
455,Newton,106499,georgia
456,Oconee,36929,georgia
457,Oglethorpe,14712,georgia
458,Paulding,155246,georgia
459,Peach,26885,georgia
460,Pickens,30652,georgia
461,Pierce,19104,georgia
462,Pike,17897,georgia
463,Polk,41555,georgia
464,Pulaski,11288,georgia
465,Putnam,21515,georgia
466,Quitman,2320,georgia
467,Rabun,16465,georgia
468,Randolph,7155,georgia
469,Richmond,201949,georgia
470,Rockdale,88987,georgia
471,Schley,5173,georgia
472,Screven,14003,georgia
473,Seminole,8427,georgia
474,Spalding,64546,georgia
475,Stephens,25637,georgia
476,Stewart,6122,georgia
477,Sumter,30403,georgia
478,Talbot,6366,georgia
479,Taliaferro,1611,georgia
480,Tattnall,25342,georgia
481,Taylor,8189,georgia
482,Telfair,15962,georgia
483,Terrell,8861,georgia
484,Thomas,44950,georgia
485,Tift,40554,georgia
486,Toombs,27121,georgia
487,Towns,11419,georgia
488,Treutlen,6710,georgia
489,Troup,69939,georgia
490,Turner,7944,georgia
491,Twiggs,8249,georgia
492,Union,22640,georgia
493,Upson,26245,georgia
494,Walker,68455,georgia
495,Walton,89786,georgia
496,Ware,35648,georgia
497,Warren,5345,georgia
498,Washington,20347,georgia
499,Wayne,29974,georgia
500,Webster,2616,georgia
501,Wheeler,8015,georgia
502,White,28828,georgia
503,Whitfield,104406,georgia
504,Wilcox,8841,georgia
505,Wilkes,9809,georgia
506,Wilkinson,9020,georgia
507,Worth,20703,georgia
508,Hawaii,198316,hawaii
509,Honolulu,992268,hawaii
510,Kalawao,88,hawaii
511,Kauai,71537,hawaii
512,Maui,165350,hawaii
513,Ada,444486,idaho
514,Adams,3941,idaho
515,Bannock,84676,idaho
516,Bear Lake,5927,idaho
517,Benewah,9021,idaho
518,Bingham,45315,idaho
519,Blaine,22062,idaho
520,Boise,7095,idaho
521,Bonner,42357,idaho
522,Bonneville,112118,idaho
523,Boundary,11701,idaho
524,Butte,2572,idaho
525,Camas,1082,idaho
526,Canyon,211381,idaho
527,Caribou,6867,idaho
528,Cassia,23479,idaho
529,Clark,870,idaho
530,Clearwater,8651,idaho
531,Custer,4084,idaho
532,Elmore,26137,idaho
533,Franklin,13320,idaho
534,Fremont,12914,idaho
535,Gem,16959,idaho
536,Gooding,15135,idaho
537,Idaho,16236,idaho
538,Jefferson,27830,idaho
539,Jerome,23433,idaho
540,Kootenai,153019,idaho
541,Latah,39050,idaho
542,Lemhi,7709,idaho
543,Lewis,3846,idaho
544,Lincoln,5303,idaho
545,Madison,38972,idaho
546,Minidoka,20613,idaho
547,Nez Perce,40136,idaho
548,Oneida,4296,idaho
549,Owyhee,11364,idaho
550,Payette,22888,idaho
551,Power,7681,idaho
552,Shoshone,12416,idaho
553,Teton,11165,idaho
554,Twin Falls,83819,idaho
555,Valley,10422,idaho
556,Washington,10032,idaho
557,Adams,66475,illinois
558,Alexander,6459,illinois
559,Bond,16546,illinois
560,Boone,53570,illinois
561,Brown,6637,illinois
562,Bureau,33396,illinois
563,Calhoun,4869,illinois
564,Carroll,14596,illinois
565,Cass,12672,illinois
566,Champaign,210198,illinois
567,Christian,33230,illinois
568,Clark,15857,illinois
569,Clay,13314,illinois
570,Clinton,37599,illinois
571,Coles,51783,illinois
572,Cook,5224272,illinois
573,Crawford,19133,illinois
574,Cumberland,10868,illinois
575,DeKalb,104080,illinois
576,De Witt,16137,illinois
577,Douglas,19727,illinois
578,DuPage,931256,illinois
579,Edgar,17519,illinois
580,Edwards,6536,illinois
581,Effingham,34170,illinois
582,Fayette,21570,illinois
583,Ford,13352,illinois
584,Franklin,39075,illinois
585,Fulton,35473,illinois
586,Gallatin,5157,illinois
587,Greene,13123,illinois
588,Grundy,50317,illinois
589,Hamilton,8186,illinois
590,Hancock,18205,illinois
591,Hardin,3991,illinois
592,Henderson,6886,illinois
593,Henry,49498,illinois
594,Iroquois,28163,illinois
595,Jackson,58726,illinois
596,Jasper,9583,illinois
597,Jefferson,38214,illinois
598,Jersey,21947,illinois
599,Jo Daviess,21814,illinois
600,Johnson,12454,illinois
601,Kane,530726,illinois
602,Kankakee,111080,illinois
603,Kendall,124535,illinois
604,Knox,50917,illinois
605,Lake,704158,illinois
606,LaSalle,110215,illinois
607,Lawrence,16182,illinois
608,Lee,34494,illinois
609,Livingston,36107,illinois
610,Logan,29166,illinois
611,McDonough,30907,illinois
612,McHenry,307159,illinois
613,McLean,173070,illinois
614,Macon,106383,illinois
615,Macoupin,45691,illinois
616,Madison,265641,illinois
617,Marion,38045,illinois
618,Marshall,11881,illinois
619,Mason,13675,illinois
620,Massac,14440,illinois
621,Menard,12398,illinois
622,Mercer,15602,illinois
623,Monroe,33913,illinois
624,Montgomery,29061,illinois
625,Morgan,34632,illinois
626,Moultrie,14610,illinois
627,Ogle,51148,illinois
628,Peoria,185043,illinois
629,Perry,21391,illinois
630,Piatt,16524,illinois
631,Pike,15742,illinois
632,Pope,4182,illinois
633,Pulaski,5604,illinois
634,Putnam,5710,illinois
635,Randolph,32414,illinois
636,Richland,15829,illinois
637,Rock Island,144943,illinois
638,St. Clair,263187,illinois
639,Saline,24230,illinois
640,Sangamon,198026,illinois
641,Schuyler,7030,illinois
642,Scott,5052,illinois
643,Shelby,21733,illinois
644,Stark,5512,illinois
645,Stephenson,45503,illinois
646,Tazewell,133932,illinois
647,Union,17105,illinois
648,Vermilion,78494,illinois
649,Wabash,11542,illinois
650,Warren,17294,illinois
651,Washington,14179,illinois
652,Wayne,16542,illinois
653,White,14079,illinois
654,Whiteside,56476,illinois
655,Will,688328,illinois
656,Williamson,67454,illinois
657,Winnebago,286065,illinois
658,Woodford,38913,illinois
659,Adams,35178,indiana
660,Allen,369412,indiana
661,Bartholomew,82231,indiana
662,Benton,8658,indiana
663,Blackford,12115,indiana
664,Boone,64192,indiana
665,Brown,14996,indiana
666,Carroll,19973,indiana
667,Cass,37905,indiana
668,Clark,115588,indiana
669,Clay,26210,indiana
670,Clinton,32207,indiana
671,Crawford,10583,indiana
672,Daviess,33010,indiana
673,Dearborn,49436,indiana
674,Decatur,26565,indiana
675,DeKalb,42652,indiana
676,Delaware,115657,indiana
677,Dubois,42450,indiana
678,Elkhart,203642,indiana
679,Fayette,23252,indiana
680,Floyd,76734,indiana
681,Fountain,16457,indiana
682,Franklin,22770,indiana
683,Fulton,20118,indiana
684,Gibson,33644,indiana
685,Grant,66669,indiana
686,Greene,32228,indiana
687,Hamilton,315902,indiana
688,Hancock,73765,indiana
689,Harrison,39661,indiana
690,Hendricks,160376,indiana
691,Henry,48345,indiana
692,Howard,82304,indiana
693,Huntington,36294,indiana
694,Jackson,43997,indiana
695,Jasper,33405,indiana
696,Jay,21017,indiana
697,Jefferson,32230,indiana
698,Jennings,27648,indiana
699,Johnson,151540,indiana
700,Knox,37333,indiana
701,Kosciusko,78732,indiana
702,LaGrange,39113,indiana
703,Lake,486092,indiana
704,LaPorte,110222,indiana
705,Lawrence,45578,indiana
706,Madison,129329,indiana
707,Marion,945685,indiana
708,Marshall,46586,indiana
709,Martin,10190,indiana
710,Miami,36043,indiana
711,Monroe,145757,indiana
712,Montgomery,38238,indiana
713,Morgan,69633,indiana
714,Newton,13992,indiana
715,Noble,47398,indiana
716,Ohio,5885,indiana
717,Orange,19473,indiana
718,Owen,20898,indiana
719,Parke,16938,indiana
720,Perry,18978,indiana
721,Pike,12391,indiana
722,Porter,167475,indiana
723,Posey,25639,indiana
724,Pulaski,12618,indiana
725,Putnam,37113,indiana
726,Randolph,25112,indiana
727,Ripley,28381,indiana
728,Rush,16639,indiana
729,St. Joseph,269862,indiana
730,Scott,23687,indiana
731,Shelby,44229,indiana
732,Spencer,20491,indiana
733,Starke,23019,indiana
734,Steuben,34329,indiana
735,Sullivan,20710,indiana
736,Switzerland,10641,indiana
737,Tippecanoe,190292,indiana
738,Tipton,15163,indiana
739,Union,7139,indiana
740,Vanderburgh,181427,indiana
741,Vermillion,15593,indiana
742,Vigo,107790,indiana
743,Wabash,31513,indiana
744,Warren,8165,indiana
745,Warrick,62005,indiana
746,Washington,27728,indiana
747,Wayne,66630,indiana
748,Wells,27865,indiana
749,White,24074,indiana
750,Whitley,33475,indiana
751,Adair,7005,iowa
752,Adams,3692,iowa
753,Allamakee,13851,iowa
754,Appanoose,12505,iowa
755,Audubon,5626,iowa
756,Benton,25644,iowa
757,Black Hawk,133077,iowa
758,Boone,26416,iowa
759,Bremer,24747,iowa
760,Buchanan,21007,iowa
761,Buena Vista,20325,iowa
762,Butler,14702,iowa
763,Calhoun,9811,iowa
764,Carroll,20388,iowa
765,Cass,13176,iowa
766,Cedar,18348,iowa
767,Cerro Gordo,43096,iowa
768,Cherokee,11394,iowa
769,Chickasaw,12094,iowa
770,Clarke,9288,iowa
771,Clay,16295,iowa
772,Clayton,17661,iowa
773,Clinton,47248,iowa
774,Crawford,17103,iowa
775,Dallas,84248,iowa
776,Davis,8884,iowa
777,Decatur,8053,iowa
778,Delaware,17288,iowa
779,Des Moines,39613,iowa
780,Dickinson,17109,iowa
781,Dubuque,96763,iowa
782,Emmet,9581,iowa
783,Fayette,19858,iowa
784,Floyd,15857,iowa
785,Franklin,10177,iowa
786,Fremont,6947,iowa
787,Greene,9001,iowa
788,Grundy,12286,iowa
789,Guthrie,10642,iowa
790,Hamilton,15075,iowa
791,Hancock,10887,iowa
792,Hardin,17196,iowa
793,Harrison,14046,iowa
794,Henry,19833,iowa
795,Howard,9257,iowa
796,Humboldt,9530,iowa
797,Ida,6961,iowa
798,Iowa,16192,iowa
799,Jackson,19393,iowa
800,Jasper,36736,iowa
801,Jefferson,18063,iowa
802,Johnson,146928,iowa
803,Jones,20392,iowa
804,Keokuk,10170,iowa
805,Kossuth,15104,iowa
806,Lee,34458,iowa
807,Linn,222188,iowa
808,Louisa,11221,iowa
809,Lucas,8555,iowa
810,Lyon,11780,iowa
811,Madison,15796,iowa
812,Mahaska,22186,iowa
813,Marion,33146,iowa
814,Marshall,40135,iowa
815,Mills,15053,iowa
816,Mitchell,10644,iowa
817,Monona,8786,iowa
818,Monroe,7836,iowa
819,Montgomery,10124,iowa
820,Muscatine,42968,iowa
821,O'Brien,13926,iowa
822,Osceola,6095,iowa
823,Page,15329,iowa
824,Palo Alto,9034,iowa
825,Plymouth,25180,iowa
826,Pocahontas,6854,iowa
827,Polk,474277,iowa
828,Pottawattamie,93518,iowa
829,Poweshiek,18279,iowa
830,Ringgold,4985,iowa
831,Sac,9816,iowa
832,Scott,172135,iowa
833,Shelby,11655,iowa
834,Sioux,34944,iowa
835,Story,96893,iowa
836,Tama,17192,iowa
837,Taylor,6213,iowa
838,Union,12360,iowa
839,Van Buren,7241,iowa
840,Wapello,35265,iowa
841,Warren,49356,iowa
842,Washington,22126,iowa
843,Wayne,6447,iowa
844,Webster,36781,iowa
845,Winnebago,10602,iowa
846,Winneshiek,20427,iowa
847,Woodbury,102686,iowa
848,Worth,7471,iowa
849,Wright,12839,iowa
850,Allen,12670,kansas
851,Anderson,7812,kansas
852,Atchison,16376,kansas
853,Barber,4673,kansas
854,Barton,26878,kansas
855,Bourbon,14624,kansas
856,Brown,9641,kansas
857,Butler,66652,kansas
858,Chase,2632,kansas
859,Chautauqua,3360,kansas
860,Cherokee,20256,kansas
861,Cheyenne,2667,kansas
862,Clark,2065,kansas
863,Clay,8105,kansas
864,Cloud,9070,kansas
865,Coffey,8339,kansas
866,Comanche,1838,kansas
867,Cowley,35650,kansas
868,Crawford,39046,kansas
869,Decatur,2828,kansas
870,Dickinson,18956,kansas
871,Doniphan,7718,kansas
872,Douglas,119662,kansas
873,Edwards,2899,kansas
874,Elk,2511,kansas
875,Ellis,28942,kansas
876,Ellsworth,6302,kansas
877,Finney,36885,kansas
878,Ford,34552,kansas
879,Franklin,25523,kansas
880,Geary,35223,kansas
881,Gove,2622,kansas
882,Graham,2562,kansas
883,Grant,7675,kansas
884,Gray,6031,kansas
885,Greeley,1277,kansas
886,Greenwood,6112,kansas
887,Hamilton,2634,kansas
888,Harper,5667,kansas
889,Harvey,34726,kansas
890,Haskell,4026,kansas
891,Hodgeman,1851,kansas
892,Jackson,13270,kansas
893,Jefferson,18824,kansas
894,Jewell,2880,kansas
895,Johnson,586015,kansas
896,Kearny,3890,kansas
897,Kingman,7417,kansas
898,Kiowa,2507,kansas
899,Labette,20313,kansas
900,Lane,1593,kansas
901,Leavenworth,80244,kansas
902,Lincoln,3077,kansas
903,Linn,9606,kansas
904,Logan,2818,kansas
905,Lyon,33369,kansas
906,McPherson,28429,kansas
907,Marion,12017,kansas
908,Marshall,9789,kansas
909,Meade,4236,kansas
910,Miami,32923,kansas
911,Mitchell,6207,kansas
912,Montgomery,32859,kansas
913,Morris,5558,kansas
914,Morton,2790,kansas
915,Nemaha,10089,kansas
916,Neosho,16127,kansas
917,Ness,2957,kansas
918,Norton,5491,kansas
919,Osage,15811,kansas
920,Osborne,3588,kansas
921,Ottawa,5905,kansas
922,Pawnee,6719,kansas
923,Phillips,5402,kansas
924,Pottawatomie,23605,kansas
925,Pratt,9557,kansas
926,Rawlins,2500,kansas
927,Reno,63184,kansas
928,Republic,4659,kansas
929,Rice,9782,kansas
930,Riley,75172,kansas
931,Rooks,5118,kansas
932,Rush,3054,kansas
933,Russell,7007,kansas
934,Saline,54955,kansas
935,Scott,4979,kansas
936,Sedgwick,513092,kansas
937,Seward,22897,kansas
938,Shawnee,178350,kansas
939,Sheridan,2485,kansas
940,Sherman,5955,kansas
941,Smith,3656,kansas
942,Stafford,4186,kansas
943,Stanton,2105,kansas
944,Stevens,5653,kansas
945,Sumner,23183,kansas
946,Thomas,7847,kansas
947,Trego,2852,kansas
948,Wabaunsee,6884,kansas
949,Wallace,1502,kansas
950,Washington,5564,kansas
951,Wichita,2131,kansas
952,Wilson,8698,kansas
953,Woodson,3189,kansas
954,Wyandotte,164785,kansas
955,Adair,19259,kentucky
956,Allen,20721,kentucky
957,Anderson,22191,kentucky
958,Ballard,8046,kentucky
959,Barren,43763,kentucky
960,Bath,12246,kentucky
961,Bell,27204,kentucky
962,Boone,129503,kentucky
963,Bourbon,20130,kentucky
964,Boyd,48121,kentucky
965,Boyle,29965,kentucky
966,Bracken,8368,kentucky
967,Breathitt,13177,kentucky
968,Breckinridge,19982,kentucky
969,Bullitt,79222,kentucky
970,Butler,12686,kentucky
971,Caldwell,12634,kentucky
972,Calloway,38733,kentucky
973,Campbell,92257,kentucky
974,Carlisle,4783,kentucky
975,Carroll,10614,kentucky
976,Carter,27304,kentucky
977,Casey,15775,kentucky
978,Christian,71796,kentucky
979,Clark,35851,kentucky
980,Clay,20626,kentucky
981,Clinton,10200,kentucky
982,Crittenden,9131,kentucky
983,Cumberland,6731,kentucky
984,Daviess,100032,kentucky
985,Edmonson,12076,kentucky
986,Elliott,7491,kentucky
987,Estill,14315,kentucky
988,Fayette,319644,kentucky
989,Fleming,14481,kentucky
990,Floyd,36968,kentucky
991,Franklin,50292,kentucky
992,Fulton,6185,kentucky
993,Gallatin,8719,kentucky
994,Garrard,17382,kentucky
995,Grant,24910,kentucky
996,Graves,37217,kentucky
997,Grayson,26093,kentucky
998,Green,10969,kentucky
999,Greenup,35824,kentucky
1000,Hancock,8723,kentucky
