state,county,trump votes,clinton votes,total votes,trump vote %,clinton vote %
wisconsin,Vernon,7004,6371,13375,52.37,47.63
wisconsin,Trempealeau,7366,5636,13002,56.65,43.35
wisconsin,Clark,8652,4221,12873,67.21,32.79
wisconsin,Vilas,8166,4770,12936,63.13,36.87
wisconsin,Iowa,4809,6669,11478,41.9,58.1
wisconsin,Waushara,7667,3791,11458,66.91,33.09
wisconsin,Juneau,7130,4073,11203,63.64,36.36
wisconsin,Kewaunee,6618,3627,10245,64.6,35.4
wisconsin,Langlade,6478,3250,9728,66.59,33.41
wisconsin,Adams,5966,3745,9711,61.44,38.56
wisconsin,Bayfield,4124,4953,9077,45.43,54.57
wisconsin,Taylor,6579,2393,8972,73.33,26.67
wisconsin,Green Lake,6216,2693,8909,69.77,30.23
wisconsin,Jackson,4906,3818,8724,56.24,43.76
wisconsin,Washburn,5436,3282,8718,62.35,37.65
wisconsin,Sawyer,5185,3503,8688,59.68,40.32
wisconsin,Burnett,5410,2949,8359,64.72,35.28
wisconsin,Richland,4013,3569,7582,52.93,47.07
wisconsin,Ashland,3303,4226,7529,43.87,56.13
wisconsin,Marquette,4709,2808,7517,62.64,37.36
wisconsin,Crawford,3836,3419,7255,52.87,47.13
wisconsin,Lafayette,3977,3288,7265,54.74,45.26
wisconsin,Price,4559,2667,7226,63.09,36.91
wisconsin,Rusk,4564,2171,6735,67.77,32.23
wisconsin,Buffalo,4048,2525,6573,61.59,38.41
wisconsin,Forest,2787,1579,4366,63.83,36.17
wisconsin,Pepin,2206,1344,3550,62.14,37.86
wisconsin,Iron,2081,1275,3356,62.01,37.99
wisconsin,Florence,1898,665,2563,74.05,25.95
wisconsin,Menominee,267,1002,1269,21.04,78.96
wyoming,Laramie,24847,11573,36420,68.22,31.78
wyoming,Natrona,23552,6577,30129,78.17,21.83
wyoming,Campbell,15778,1324,17102,92.26,7.74
wyoming,Sweetwater,12154,3231,15385,79.0,21.0
wyoming,Albany,7602,6890,14492,52.46,47.54
wyoming,Fremont,11167,4200,15367,72.67,27.33
wyoming,Park,11115,2535,13650,81.43,18.57
wyoming,Sheridan,10266,2927,13193,77.81,22.19
wyoming,Teton,3921,7314,11235,34.9,65.1
wyoming,Lincoln,6779,1105,7884,85.98,14.02
wyoming,Uinta,6154,1202,7356,83.66,16.34
wyoming,Converse,5520,668,6188,89.2,10.8
wyoming,Carbon,4409,1279,5688,77.51,22.49
wyoming,Goshen,4418,924,5342,82.7,17.3
wyoming,Big Horn,4067,604,4671,87.07,12.93
wyoming,Platte,3437,719,4156,82.7,17.3
wyoming,Johnson,3477,638,4115,84.5,15.5
wyoming,Sublette,3409,644,4053,84.11,15.89
wyoming,Crook,3348,273,3621,92.46,7.54
wyoming,Washakie,2911,532,3443,84.55,15.45
wyoming,Weston,3033,299,3332,91.03,8.97
wyoming,Hot Springs,1939,400,2339,82.9,17.1
wyoming,Niobrara,1116,115,1231,90.66,9.34
