state,county,trump votes,clinton votes,total votes,trump vote %,clinton vote %,electric vehicle %,population,voter turnout %
alabama,Clay,5245,1237,6482,80.92,19.08,0.4344048653344917,13393.0,48.39841708355111
alabama,Cleburne,5764,684,6448,89.39,10.61,0.3112972605841068,14848.0,43.42672413793103
alabama,Conecuh,3420,3080,6500,52.62,47.38,0.1660472839408555,12500.0,52.0
alabama,Sumter,1581,4746,6327,24.99,75.01,0.1765447667087011,12967.0,48.79309015192412
alabama,Crenshaw,4513,1664,6177,73.06,26.94,0.2085989106501332,13916.0,44.38775510204081
alabama,Wilcox,1742,4339,6081,28.65,71.35,0.1257861635220125,10844.0,56.07709332349686
alabama,Perry,1407,3824,5231,26.9,73.1,0.2592087312414734,9532.0,54.87830465799413
alabama,Coosa,3381,1782,5163,65.49,34.51,0.3449190766781639,10819.0,47.721600887327845
alabama,Greene,838,4013,4851,17.27,82.73,0.2278997241213866,8482.0,57.19170007073804
alabama,Bullock,1140,3530,4670,24.41,75.59,0.2196595277320153,10389.0,44.95139089421504
arizona,Maricopa,747361,702907,1450268,51.53,48.47,1.9109474500185784,4256143.0,34.074700967519185
arizona,Pima,167428,224661,392089,42.7,57.3,1.8498228456081047,1016707.0,38.56460120762422
arizona,Pinal,72819,47892,120711,60.33,39.67,1.3336520230877809,417193.0,28.934090456934804
arizona,Yavapai,71330,35590,106920,66.71,33.29,1.6124836359974488,224575.0,47.60992986752755
arizona,Mohave,58282,17455,75737,76.95,23.05,0.8543304931671806,205412.0,36.87077678032442
arizona,Coconino,21108,32404,53512,39.45,60.55,1.3501614323451716,140407.0,38.11205994003148
arizona,Yuma,25165,24605,49770,50.56,49.44,0.6330765254633618,207247.0,24.014822892490603
arizona,Cochise,28092,17450,45542,61.68,38.32,1.0164304458307656,125686.0,36.23474372642936
arizona,Navajo,20577,16459,37036,55.56,44.44,0.6867963152507677,108467.0,34.14494731116376
arizona,Apache,8240,17083,25323,32.54,67.46,0.3096638491800725,71381.0,35.47582690071588
arizona,Gila,14182,7003,21185,66.94,33.06,0.7274132902273607,53356.0,39.705000374840694
arizona,Santa Cruz,3897,11690,15587,25.0,75.0,0.461548547826657,46400.0,33.5926724137931
arizona,Graham,8025,3301,11326,70.85,29.15,0.5090791180285343,37807.0,29.957415293464173
arizona,La Paz,4003,1575,5578,71.76,28.24,0.5732314255243512,20648.0,27.014722975590853
arizona,Greenlee,1892,1092,2984,63.4,36.6,0.284240446362775,9643.0,30.944726744788966
arkansas,Pulaski,61257,89574,150831,40.61,59.39,1.0644751450776606,394151.0,38.26731379598174
arkansas,Benton,60871,28005,88876,68.49,31.51,1.157852449137709,259212.0,34.28699288613182
arkansas,Washington,41476,33366,74842,55.42,44.58,1.1146685639748606,228482.0,32.75619085967384
arkansas,Saline,35863,13256,49119,73.01,26.99,0.8466004490927113,117656.0,41.747977153736315
arkansas,Faulkner,29346,14629,43975,66.73,33.27,1.0960528706829766,122206.0,35.984321555406446
arkansas,Sebastian,29127,12300,41427,70.31,29.69,0.6229391486810552,127385.0,32.52109746045453
arkansas,Garland,26087,12311,38398,67.94,32.06,1.1480174151235427,98282.0,39.069209010805636
arkansas,Craighead,22892,10538,33430,68.48,31.52,0.6574335919561065,105932.0,31.55798059132274
arkansas,White,21077,5170,26247,80.3,19.7,0.6142506142506143,78917.0,33.25899362621488
arkansas,Lonoke,19958,5664,25622,77.89,22.11,0.7014182863146184,71803.0,35.68374580449285
arkansas,Jefferson,9250,15772,25022,36.97,63.03,0.362252307897768,70407.0,35.53907992103058
arkansas,Pope,16256,5000,21256,76.48,23.52,0.851150252944869,63897.0,33.26603752914848
arkansas,Crawford,16686,4488,21174,78.8,21.2,0.57343933272514,62263.0,34.007355893548336
arkansas,Baxter,14682,4169,18851,77.88,22.12,0.9826489443330608,41131.0,45.83161119350368
arkansas,Union,10456,5855,16311,64.1,35.9,0.3199025059029629,39879.0,40.90122620928308
arkansas,Boone,12235,2926,15161,80.7,19.3,0.8240725828098996,37259.0,40.690839797096004
arkansas,Miller,11294,4273,15567,72.55,27.45,0.4114771754439259,43713.0,35.6118317205408
arkansas,Crittenden,6964,8410,15374,45.3,54.7,0.3678034378362149,49306.0,31.18078935626496
arkansas,Greene,10720,3071,13791,77.73,22.27,0.3415171968698739,44730.0,30.83165660630449
arkansas,Independence,9936,2881,12817,77.52,22.48,0.4665772139546231,37117.0,34.53134682221084
arkansas,Mississippi,7061,5670,12731,55.46,44.54,0.2541927189855665,42900.0,29.675990675990676
arkansas,Cleburne,9458,2101,11559,81.82,18.18,0.6192069535787085,25173.0,45.91824573948278
arkansas,Hot Spring,8172,3149,11321,72.18,27.82,0.4792158286440371,33438.0,33.85668999342066
arkansas,Carroll,6786,3342,10128,67.0,33.0,0.998478155970454,27728.0,36.5262550490479
arkansas,Ouachita,5351,4321,9672,55.32,44.68,0.3744452662721892,24013.0,40.27818265106401
arkansas,Johnson,6091,2427,8518,71.51,28.49,0.5167732328983096,26127.0,32.60228881999464
arkansas,Columbia,5456,3140,8596,63.47,36.53,0.2522848438690023,24026.0,35.777907267127276
arkansas,Clark,4404,3620,8024,54.89,45.11,0.7656130372962924,22602.0,35.501283072294484
arkansas,Polk,6618,1212,7830,84.52,15.48,0.4255973746282433,20145.0,38.86820551005212
arkansas,Ashley,5338,2408,7746,68.91,31.09,0.2383348339600656,20530.0,37.730150998538726
arkansas,Conway,4849,2656,7505,64.61,35.39,0.5609903101673697,20874.0,35.9538181469771
arkansas,Logan,5746,1715,7461,77.01,22.99,0.2897467052995607,21732.0,34.33186085035892
arkansas,Poinsett,5502,1880,7382,74.53,25.47,0.3171856978085352,23974.0,30.791690998581796
arkansas,Grant,5725,1373,7098,80.66,19.34,0.424310495444902,18064.0,39.29362267493357
arkansas,Van Buren,5382,1549,6931,77.65,22.35,0.6681374093917427,16669.0,41.58017877497151
arkansas,Sharp,5407,1472,6879,78.6,21.4,0.3904797322424693,17007.0,40.448050802610695
arkansas,Marion,5336,1434,6770,78.82,21.18,0.6386575668398974,16376.0,41.3409868099658
arkansas,Hempstead,4401,2377,6778,64.93,35.07,0.235231221598503,22032.0,30.764342774146698
arkansas,Phillips,2446,4310,6756,36.2,63.8,0.447535114293583,19050.0,35.46456692913386
arkansas,Cross,4584,1999,6583,69.63,30.37,0.386100386100386,17025.0,38.666666666666664
arkansas,Madison,4928,1588,6516,75.63,24.37,0.3880900877974297,16112.0,40.44190665342602
arkansas,Franklin,5039,1376,6415,78.55,21.45,0.5046513041892138,17655.0,36.33531577456811
arkansas,Drew,3968,2365,6333,62.66,37.34,0.6110244409776392,18553.0,34.13464129790331
arkansas,Yell,4608,1480,6088,75.69,24.31,0.5117072414327803,21502.0,28.313645242303043
arkansas,Randolph,4509,1425,5934,75.99,24.01,0.3324713705208718,17444.0,34.017427195597335
arkansas,Arkansas,3826,1939,5765,66.37,33.63,0.238816402609506,18154.0,31.756086812823618
arkansas,Lawrence,4064,1263,5327,76.29,23.71,0.3224806201550387,16639.0,32.015145140933946
arkansas,Stone,4113,1203,5316,77.37,22.63,0.5902258597623358,12509.0,42.49740187065313
arkansas,Izard,4042,1113,5155,78.41,21.59,0.4229907937297835,13488.0,38.21915776986952
arkansas,Little River,3605,1397,5002,72.07,27.93,0.278050376185803,12406.0,40.31920038690956
arkansas,Clay,3781,1199,4980,75.92,24.08,0.2666849015317286,15060.0,33.067729083665334
arkansas,Jackson,3267,1583,4850,67.36,32.64,0.1959602050045221,17282.0,28.06388149519731
arkansas,Fulton,3471,1067,4538,76.49,23.51,0.3948823250671299,12099.0,37.50723200264485
arkansas,Howard,3157,1351,4508,70.03,29.97,0.2583979328165375,13350.0,33.767790262172284
arkansas,Sevier,3282,1075,4357,75.33,24.67,0.2392035169381949,16971.0,25.673207235872958
arkansas,Perry,3008,1049,4057,74.14,25.86,0.7021650087770627,10286.0,39.44195994555707
arkansas,Desha,1919,2228,4147,46.27,53.73,0.2936096718480138,11905.0,34.83410331793364
arkansas,Chicot,1716,2350,4066,42.2,57.8,0.3093333333333333,10899.0,37.30617487842922
arkansas,Pike,3150,685,3835,82.14,17.86,0.3866643753222203,10826.0,35.42397930907076
arkansas,Lincoln,2455,1252,3707,66.23,33.77,0.3654970760233917,13728.0,27.003205128205128
arkansas,Newton,2875,699,3574,80.44,19.56,0.572354211663067,7848.0,45.540265035677876
arkansas,Searcy,2955,601,3556,83.1,16.9,0.4943764676801385,7968.0,44.6285140562249
arkansas,Bradley,2164,1317,3481,62.17,37.83,0.3260452627541235,10959.0,31.76384706633817
arkansas,Montgomery,2643,748,3391,77.94,22.06,0.4717523875273272,8936.0,37.94762757385855
arkansas,Scott,2731,602,3333,81.94,18.06,0.2925746569814366,10332.0,32.25900116144019
